repo,vul_id
torvalds/linux,CVE-2020-10751
torvalds/linux,CVE-2020-12363
torvalds/linux,CVE-2020-12364
torvalds/linux,CVE-2020-14353
torvalds/linux,CVE-2020-24587
torvalds/linux,CVE-2020-26558
torvalds/linux,CVE-2020-8647
torvalds/linux,CVE-2020-8649
torvalds/linux,CVE-2021-0129
torvalds/linux,CVE-2021-27364
torvalds/linux,CVE-2021-47111
torvalds/linux,CVE-2022-0002
torvalds/linux,CVE-2022-23038
torvalds/linux,CVE-2022-33981
torvalds/linux,CVE-2022-4744
torvalds/linux,CVE-2023-34255
torvalds/linux,CVE-2024-23851
ImageMagick/ImageMagick6,CVE-2021-20224
ImageMagick/ImageMagick6,CVE-2021-3574
ImageMagick/ImageMagick6,CVE-2022-1115
ImageMagick/ImageMagick6,CVE-2022-28463
ImageMagick/ImageMagick6,CVE-2022-3213
ImageMagick/ImageMagick6,CVE-2022-32545
ImageMagick/ImageMagick6,CVE-2022-32546
ImageMagick/ImageMagick6,CVE-2022-32547
ImageMagick/ImageMagick6,CVE-2023-1906
ImageMagick/ImageMagick6,CVE-2023-3195
ImageMagick/ImageMagick6,CVE-2023-3745
LibreDWG/libredwg,OSV-2021-493
LibreDWG/libredwg,OSV-2023-397
radareorg/radare2,CVE-2022-0522
